Docker,FaaS
0.006948709487915039,0.14934086799621582
0.009882926940917969,0.22728896141052246
0.0214536190032959,0.26810121536254883
0.021587371826171875,0.2417433261871338
0.021854877471923828,0.2501685619354248
0.00838327407836914,0.15551352500915527
0.022241592407226562,0.19831371307373047
0.012884855270385742,0.19240188598632812
0.006376743316650391,0.21893858909606934
0.006590604782104492,0.1792588233947754
0.006070613861083984,0.1802222728729248
0.006713151931762695,0.19243979454040527
0.014130115509033203,0.17849063873291016
0.021849870681762695,0.25174665451049805
0.02241802215576172,0.25121307373046875
0.0059854984283447266,0.17955732345581055
0.0063402652740478516,0.14482545852661133
0.006354808807373047,0.1925966739654541
0.00719761848449707,0.21010041236877441
0.00635075569152832,0.1965038776397705
0.014281988143920898,0.18503451347351074
0.021612882614135742,0.2567563056945801
0.021512269973754883,0.25316691398620605
0.022820234298706055,0.253406286239624
0.021485567092895508,0.24860167503356934
